# assumes 12 time steps per hour from day 335 - day 365
# julian decimal day, ignore, diffuse solar, global horiz solar
335.0035,0.000,0.000,0.000
335.0070,0.000,0.000,0.000
335.0104,0.000,0.000,0.000
335.0139,0.000,0.000,0.000
335.0174,0.000,0.000,0.000
335.0208,0.000,0.000,0.000
335.0243,0.000,0.000,0.000
335.0278,0.000,0.000,0.000
335.0312,0.000,0.000,0.000
335.0347,0.000,0.000,0.000
335.0382,0.000,0.000,0.000
335.0417,0.000,0.000,0.000
335.0451,0.000,0.000,0.000
335.0486,0.000,0.000,0.000
335.0521,0.000,0.000,0.000
335.0555,0.000,0.000,0.000
335.0590,0.000,0.000,0.000
335.0625,0.000,0.000,0.000
335.0660,0.000,0.000,0.000
335.0695,0.000,0.000,0.000
335.0729,0.000,0.000,0.000
335.0764,0.000,0.000,0.000
335.0799,0.000,0.000,0.000
335.0833,0.000,0.000,0.000
335.0868,0.000,0.000,0.000
335.0903,0.000,0.000,0.000
335.0938,0.000,0.000,0.000
335.0972,0.000,0.000,0.000
335.1007,0.000,0.000,0.000
335.1042,0.000,0.000,0.000
335.1076,0.000,0.000,0.000
335.1111,0.000,0.000,0.000
335.1146,0.000,0.000,0.000
335.1180,0.000,0.000,0.000
335.1215,0.000,0.000,0.000
335.1250,0.000,0.000,0.000
335.1285,0.000,0.000,0.000
335.1320,0.000,0.000,0.000
335.1354,0.000,0.000,0.000
335.1389,0.000,0.000,0.000
335.1424,0.000,0.000,0.000
335.1458,0.000,0.000,0.000
335.1493,0.000,0.000,0.000
335.1528,0.000,0.000,0.000
335.1562,0.000,0.000,0.000
335.1597,0.000,0.000,0.000
335.1632,0.000,0.000,0.000
335.1667,0.000,0.000,0.000
335.1701,0.000,0.000,0.000
335.1736,0.000,0.000,0.000
335.1771,0.000,0.000,0.000
335.1805,0.000,0.000,0.000
335.1840,0.000,0.000,0.000
335.1875,0.000,0.000,0.000
335.1910,0.000,0.000,0.000
335.1945,0.000,0.000,0.000
335.1979,0.000,0.000,0.000
335.2014,0.000,0.000,0.000
335.2049,0.000,0.000,0.000
335.2083,0.000,0.000,0.000
335.2118,0.000,0.000,0.000
335.2153,0.000,0.000,0.000
335.2188,0.000,0.000,0.000
335.2222,0.000,0.000,0.000
335.2257,0.000,0.000,0.000
335.2292,0.000,0.000,0.000
335.2326,0.000,0.000,0.000
335.2361,0.000,0.000,0.000
335.2396,0.000,0.000,0.000
335.2430,0.000,0.000,0.000
335.2465,0.000,0.000,0.000
335.2500,0.000,0.000,0.000
335.2535,0.000,0.000,0.000
335.2570,0.000,0.000,0.000
335.2604,0.000,0.000,0.000
335.2639,0.000,0.000,0.000
335.2674,0.000,2.000,2.000
335.2708,0.000,4.000,4.000
335.2743,0.000,7.000,7.000
335.2778,0.000,15.000,15.0
335.2812,0.000,23.000,23.0
335.2847,0.000,32.000,32.0
335.2882,0.000,42.000,42.0
335.2917,0.000,53.000,53.0
335.2951,0.000,37.000,64.0
335.2986,0.000,41.000,75.0
335.3021,0.000,45.000,85.0
335.3055,0.000,49.000,97.0
335.3090,0.000,53.000,107.
335.3125,0.000,56.000,119.
335.3160,0.000,60.000,131.
335.3195,0.000,63.000,142.
335.3229,0.000,66.000,152.
335.3264,0.000,68.000,162.
335.3299,0.000,71.000,172.
335.3333,0.000,73.000,180.
335.3368,0.000,69.000,172.
335.3403,0.000,52.000,156.
335.3438,0.000,51.000,163.
335.3472,0.000,52.000,171.
335.3507,0.000,53.000,178.
335.3542,0.000,54.000,188.
335.3576,0.000,55.000,197.
335.3611,0.000,55.000,206.
335.3646,0.000,57.000,213.
335.3680,0.000,58.000,221.
335.3715,0.000,59.000,226.
335.3750,0.000,60.000,233.
335.3785,0.000,61.000,239.
335.3820,0.000,61.000,247.
335.3854,0.000,62.000,252.
335.3889,0.000,62.000,258.
335.3924,0.000,62.000,265.
335.3958,0.000,63.000,269.
335.3993,0.000,64.000,273.
335.4028,0.000,64.000,277.
335.4062,0.000,64.000,279.
335.4097,0.000,66.000,280.
335.4132,0.000,67.000,282.
335.4167,0.000,68.000,284.
335.4201,0.000,68.000,288.
335.4236,0.000,70.000,289.
335.4271,0.000,70.000,290.
335.4305,0.000,72.000,291.
335.4340,0.000,72.000,292.
335.4375,0.000,74.000,290.
335.4410,0.000,77.000,294.
335.4445,0.000,78.000,296.
335.4479,0.000,78.000,290.
335.4514,0.000,80.000,287.
335.4549,0.000,81.000,286.
335.4583,0.000,81.000,280.
335.4618,0.000,82.000,282.
335.4653,0.000,83.000,282.
335.4688,0.000,83.000,277.
335.4722,0.000,83.000,274.
335.4757,0.000,83.000,271.
335.4792,0.000,82.000,266.
335.4826,0.000,82.000,261.
335.4861,0.000,82.000,259.
335.4896,0.000,84.000,259.
335.4930,0.000,85.000,260.
335.4965,0.000,83.000,256.
335.5000,0.000,82.000,251.
335.5035,0.000,81.000,243.
335.5070,0.000,80.000,237.
335.5104,0.000,79.000,234.
335.5139,0.000,78.000,229.
335.5174,0.000,78.000,225.
335.5208,0.000,77.000,219.
335.5243,0.000,75.000,210.
335.5278,0.000,73.000,205.
335.5312,0.000,72.000,199.
335.5347,0.000,71.000,193.
335.5382,0.000,70.000,189.
335.5417,0.000,66.000,182.
335.5451,0.000,63.000,174.
335.5486,0.000,63.000,166.
335.5521,0.000,62.000,156.
335.5555,0.000,59.000,147.
335.5590,0.000,57.000,137.
335.5625,0.000,56.000,130.
335.5660,0.000,54.000,123.
335.5695,0.000,50.000,112.
335.5729,0.000,48.000,104.
335.5764,0.000,47.000,98.0
335.5799,0.000,45.000,91.0
335.5833,0.000,41.000,81.0
335.5868,0.000,39.000,71.0
335.5903,0.000,36.000,62.0
335.5938,0.000,53.000,53.0
335.5972,0.000,45.000,45.0
335.6007,0.000,35.000,35.0
335.6042,0.000,25.000,25.0
335.6076,0.000,22.000,22.0
335.6111,0.000,18.000,18.0
335.6146,0.000,15.000,15.0
335.6180,0.000,12.000,12.0
335.6215,0.000,9.000,9.000
335.6250,0.000,6.000,6.000
335.6285,0.000,3.000,3.000
335.6320,0.000,1.000,1.000
335.6354,0.000,0.000,0.000
335.6389,0.000,0.000,0.000
335.6424,0.000,0.000,0.000
335.6458,0.000,0.000,0.000
335.6493,0.000,0.000,0.000
335.6528,0.000,0.000,0.000
335.6562,0.000,0.000,0.000
335.6597,0.000,0.000,0.000
335.6632,0.000,0.000,0.000
335.6667,0.000,0.000,0.000
335.6701,0.000,0.000,0.000
335.6736,0.000,0.000,0.000
335.6771,0.000,0.000,0.000
335.6805,0.000,0.000,0.000
335.6840,0.000,0.000,0.000
335.6875,0.000,0.000,0.000
335.6910,0.000,0.000,0.000
335.6945,0.000,0.000,0.000
335.6979,0.000,0.000,0.000
335.7014,0.000,0.000,0.000
335.7049,0.000,0.000,0.000
335.7083,0.000,0.000,0.000
335.7118,0.000,0.000,0.000
335.7153,0.000,0.000,0.000
335.7188,0.000,0.000,0.000
335.7222,0.000,0.000,0.000
335.7257,0.000,0.000,0.000
335.7292,0.000,0.000,0.000
335.7326,0.000,0.000,0.000
335.7361,0.000,0.000,0.000
335.7396,0.000,0.000,0.000
335.7430,0.000,0.000,0.000
335.7465,0.000,0.000,0.000
335.7500,0.000,0.000,0.000
335.7535,0.000,0.000,0.000
335.7570,0.000,0.000,0.000
335.7604,0.000,0.000,0.000
335.7639,0.000,0.000,0.000
335.7674,0.000,0.000,0.000
335.7708,0.000,0.000,0.000
335.7743,0.000,0.000,0.000
335.7778,0.000,0.000,0.000
335.7812,0.000,0.000,0.000
335.7847,0.000,0.000,0.000
335.7882,0.000,0.000,0.000
335.7917,0.000,0.000,0.000
335.7951,0.000,0.000,0.000
335.7986,0.000,0.000,0.000
335.8021,0.000,0.000,0.000
335.8055,0.000,0.000,0.000
335.8090,0.000,0.000,0.000
335.8125,0.000,0.000,0.000
335.8160,0.000,0.000,0.000
335.8195,0.000,0.000,0.000
335.8229,0.000,0.000,0.000
335.8264,0.000,0.000,0.000
335.8299,0.000,0.000,0.000
335.8333,0.000,0.000,0.000
335.8368,0.000,0.000,0.000
335.8403,0.000,0.000,0.000
335.8438,0.000,0.000,0.000
335.8472,0.000,0.000,0.000
335.8507,0.000,0.000,0.000
335.8542,0.000,0.000,0.000
335.8576,0.000,0.000,0.000
335.8611,0.000,0.000,0.000
335.8646,0.000,0.000,0.000
335.8680,0.000,0.000,0.000
335.8715,0.000,0.000,0.000
335.8750,0.000,0.000,0.000
335.8785,0.000,0.000,0.000
335.8820,0.000,0.000,0.000
335.8854,0.000,0.000,0.000
335.8889,0.000,0.000,0.000
335.8924,0.000,0.000,0.000
335.8958,0.000,0.000,0.000
335.8993,0.000,0.000,0.000
335.9028,0.000,0.000,0.000
335.9062,0.000,0.000,0.000
335.9097,0.000,0.000,0.000
335.9132,0.000,0.000,0.000
335.9167,0.000,0.000,0.000
335.9201,0.000,0.000,0.000
335.9236,0.000,0.000,0.000
335.9271,0.000,0.000,0.000
335.9305,0.000,0.000,0.000
335.9340,0.000,0.000,0.000
335.9375,0.000,0.000,0.000
335.9410,0.000,0.000,0.000
335.9445,0.000,0.000,0.000
335.9479,0.000,0.000,0.000
335.9514,0.000,0.000,0.000
335.9549,0.000,0.000,0.000
335.9583,0.000,0.000,0.000
335.9618,0.000,0.000,0.000
335.9653,0.000,0.000,0.000
335.9688,0.000,0.000,0.000
335.9722,0.000,0.000,0.000
335.9757,0.000,0.000,0.000
335.9792,0.000,0.000,0.000
335.9826,0.000,0.000,0.000
335.9861,0.000,0.000,0.000
335.9896,0.000,0.000,0.000
335.9930,0.000,0.000,0.000
335.9965,0.000,0.000,0.000
336.0000,0.000,0.000,0.000
336.0035,0.000,0.000,0.000
336.0070,0.000,0.000,0.000
336.0104,0.000,0.000,0.000
336.0139,0.000,0.000,0.000
336.0174,0.000,0.000,0.000
336.0208,0.000,0.000,0.000
336.0243,0.000,0.000,0.000
336.0278,0.000,0.000,0.000
336.0312,0.000,0.000,0.000
336.0347,0.000,0.000,0.000
336.0382,0.000,0.000,0.000
336.0417,0.000,0.000,0.000
336.0451,0.000,0.000,0.000
336.0486,0.000,0.000,0.000
336.0521,0.000,0.000,0.000
336.0555,0.000,0.000,0.000
336.0590,0.000,0.000,0.000
336.0625,0.000,0.000,0.000
336.0660,0.000,0.000,0.000
336.0695,0.000,0.000,0.000
336.0729,0.000,0.000,0.000
336.0764,0.000,0.000,0.000
336.0799,0.000,0.000,0.000
336.0833,0.000,0.000,0.000
336.0868,0.000,0.000,0.000
336.0903,0.000,0.000,0.000
336.0938,0.000,0.000,0.000
336.0972,0.000,0.000,0.000
336.1007,0.000,0.000,0.000
336.1042,0.000,0.000,0.000
336.1076,0.000,0.000,0.000
336.1111,0.000,0.000,0.000
336.1146,0.000,0.000,0.000
336.1180,0.000,0.000,0.000
336.1215,0.000,0.000,0.000
336.1250,0.000,0.000,0.000
336.1285,0.000,0.000,0.000
336.1320,0.000,0.000,0.000
336.1354,0.000,0.000,0.000
336.1389,0.000,0.000,0.000
336.1424,0.000,0.000,0.000
336.1458,0.000,0.000,0.000
336.1493,0.000,0.000,0.000
336.1528,0.000,0.000,0.000
336.1562,0.000,0.000,0.000
336.1597,0.000,0.000,0.000
336.1632,0.000,0.000,0.000
336.1667,0.000,0.000,0.000
336.1701,0.000,0.000,0.000
336.1736,0.000,0.000,0.000
336.1771,0.000,0.000,0.000
336.1805,0.000,0.000,0.000
336.1840,0.000,0.000,0.000
336.1875,0.000,0.000,0.000
336.1910,0.000,0.000,0.000
336.1945,0.000,0.000,0.000
336.1979,0.000,0.000,0.000
336.2014,0.000,0.000,0.000
336.2049,0.000,0.000,0.000
336.2083,0.000,0.000,0.000
