Created via cygcheck -c command
The cygwin package version used to download was 2.83

Cygwin Package Information
Package                             Version              Status
_autorebase                         000428-1             OK
_update-info-dir                    01196-1              OK
alternatives                        1.3.30c-10           OK
aspell                              0.60.6.1-2           OK
aspell-en                           7.1.0-2              OK
at-spi2-core                        2.8.0-1              OK
attr                                2.4.46-1             OK
autoconf                            13-1                 OK
autoconf2.1                         2.13-12              OK
autoconf2.5                         2.69-2               OK
automake                            9-1                  OK
automake1.10                        1.10.3-2             OK
automake1.11                        1.11.6-2             OK
automake1.12                        1.12.6-2             OK
automake1.13                        1.13.4-1             OK
automake1.14                        1.14-1               OK
automake1.4                         1.4p6-11             OK
automake1.5                         1.5-11               OK
automake1.6                         1.6.3-12             OK
automake1.7                         1.7.9-11             OK
automake1.8                         1.8.5-11             OK
automake1.9                         1.9.6-11             OK
autossh                             1.4c-1               OK
base-cygwin                         3.3-1                OK
base-files                          4.1-1                OK
bash                                4.1.10-4             OK
bash-completion                     1.3-1                OK
bc                                  1.06-2               OK
binutils                            2.23.51-1            OK
bison                               2.7.1-1              OK
build-docbook-catalog               1.5-2                OK
bzip2                               1.0.6-2              OK
ca-certificates                     1.94-1               OK
cadaver                             0.23.3-2             OK
ccache                              3.1.9-2              OK
chere                               1.2-1                OK
chkconfig                           1.3.30a-1            OK
clang                               3.1-3                OK
clang-analyzer                      3.1-3                OK
cmake                               2.8.9-2              OK
compositeproto                      0.4.2-1              OK
coreutils                           8.15-1               OK
cpio                                2.11-2               OK
crypt                               1.2-1                OK
csih                                0.9.7-1              OK
cvs                                 1.12.13-10           OK
cvsps                               2.2b1-1              OK
cygrunsrv                           1.50-1               OK
cygutils                            1.4.14-1             OK
cygutils-extra                      1.4.14-1             OK
cygutils-x11                        1.4.14-1             OK
cygwin                              1.7.25-1             OK
damageproto                         1.2.1-1              OK
dash                                0.5.7-1              OK
dblatex                             0.3.4-1              OK
dbus                                1.6.16-1             OK
ddd                                 3.3.12-1             OK
desktop-file-utils                  0.21-1               OK
dialog                              1.2-20130523-1       OK
diffstat                            1.57-1               OK
diffutils                           3.2-1                OK
docbook-dsssl                       1.79-2               OK
docbook-xml412                      4.1.2-2              OK
docbook-xml42                       4.2-4                OK
docbook-xml43                       4.3-2                OK
docbook-xml44                       4.4-2                OK
docbook-xsl                         1.77.1-1             OK
dos2unix                            6.0.3-1              OK
dri-drivers                         8.0.5-1              OK
e2fsimage                           0.2.2-1              OK
e2fsprogs                           1.42.7-1             OK
ed                                  1.9-1                OK
editrights                          1.01-2               OK
ELFIO                               2.2-1                OK
enscript                            1.6.4-4              OK
file                                5.11-1               OK
findutils                           4.5.11-1             OK
fixesproto                          5.0-1                OK
fltk                                1.3.2.9965-1         OK
font-adobe-dpi100                   1.0.2-1              OK
font-adobe-dpi75                    1.0.2-1              OK
font-adobe-utopia-dpi100            1.0.3-1              OK
font-adobe-utopia-dpi75             1.0.3-1              OK
font-adobe-utopia-type1             1.0.3-1              OK
font-alias                          1.0.3-1              OK
font-bh-dpi100                      1.0.2-1              OK
font-bh-dpi75                       1.0.2-1              OK
font-bh-lucidatypewriter-dpi100     1.0.2-1              OK
font-bh-lucidatypewriter-dpi75      1.0.2-1              OK
font-bh-ttf                         1.0.3-1              OK
font-bh-type1                       1.0.2-1              OK
font-bitstream-dpi100               1.0.2-1              OK
font-bitstream-dpi75                1.0.2-1              OK
font-bitstream-speedo               1.0.1-1              OK
font-bitstream-type1                1.0.2-1              OK
font-bitstream-vera-ttf             1.10-1               OK
font-cantarell-otf                  0.0.14-1             OK
font-cursor-misc                    1.0.2-1              OK
font-daewoo-misc                    1.0.2-1              OK
font-dec-misc                       1.0.2-1              OK
font-encodings                      1.0.4-1              OK
font-ibm-type1                      1.0.2-1              OK
font-isas-misc                      1.0.2-1              OK
font-micro-misc                     1.0.2-1              OK
font-misc-misc                      1.1.1-1              OK
font-sony-misc                      1.0.2-1              OK
font-sun-misc                       1.0.2-1              OK
font-tektronix-misc                 2.6-2                OK
font-util                           1.3.0-1              OK
font-xfree86-type1                  1.0.3-1              OK
fontconfig                          2.10.93-1            OK
fontconfig-doc                      2.10.93-1            OK
fontsproto                          2.1.2-1              OK
fvwm                                2.6.5-1              OK
gamin                               0.1.10-14            OK
gawk                                4.1.0-1              OK
gcc                                 4.7.3-1              OK
gcc-core                            4.7.3-1              OK
gcc-fortran                         4.7.3-1              OK
gcc-g++                             4.7.3-1              OK
gcc4-core                           4.7.3-2              OK
gcc4-g++                            4.7.3-2              OK
gdb                                 7.6.50-4             OK
gettext                             0.18.1.1-2           OK
gettext-devel                       0.18.1.1-2           OK
ghostscript                         9.10-1               OK
ghostscript-fonts-other             6.0-1                OK
ghostscript-fonts-std               8.11-1               OK
git                                 1.7.9-1              OK
gmp                                 5.1.3-1              OK
gnome-common                        3.7.4-2              OK
gnome-doc-utils                     0.20.10-2            OK
gnome-icon-theme                    3.8.3-1              OK
gnutls-devel                        3.2.4-1              OK
grep                                2.14-3               OK
groff                               1.21-2               OK
gsettings-desktop-schemas           3.8.2-1              OK
gtk-doc                             1.19-1               OK
gtk-update-icon-cache               3.8.2-1              OK
gtk2.0-atk-bridge                   2.8.1-1              OK
gtk2.0-engines                      2.20.2-1             OK
gtk2.0-engines-pixmap               2.24.22-1            OK
gv                                  3.7.4-1              OK
gzip                                1.4-1                OK
hicolor-icon-theme                  0.12-1               OK
icu                                 4.8.1-1              OK
ImageMagick                         6.7.6.3-3            OK
ImageMagick-doc                     6.7.6.3-3            OK
imake                               1.0.6-1              OK
inetutils                           1.7-2                OK
initscripts                         0.9-4                OK
inputproto                          2.3-1                OK
intltool                            0.50.2-2             OK
ioperm                              0.4-1                OK
ipc-utils                           1.0-1                OK
itstool                             1.2.0-1              OK
kbproto                             1.0.6-1              OK
keychain                            2.7.1-1              OK
less                                444-1                OK
libAfterImage0                      1.18-1               OK
libapr1                             1.4.8-1              OK
libaprutil1                         1.5.2-4              OK
libasn1_8                           1.5.2-4              OK
libaspell15                         0.60.6.1-2           OK
libatk-bridge2.0_0                  2.8.1-1              OK
libatk1.0-devel                     2.8.0-1              OK
libatk1.0_0                         2.8.0-1              OK
libatspi0                           2.8.0-1              OK
libattr1                            2.4.46-1             OK
libautotrace3                       0.31.1-12            OK
libblkid-devel                      2.21.2-1             OK
libblkid1                           2.21.2-1             OK
libboost1.53                        1.53.0-2             OK
libbz2-devel                        1.0.6-2              OK
libbz2_1                            1.0.6-2              OK
libcairo-devel                      1.12.14-1            OK
libcairo2                           1.12.14-1            OK
libcatgets1                         1.1-2                OK
libcharset1                         1.14-2               OK
libclang                            3.1-3                OK
libcloog0                           0.15.11-1            OK
libcom_err-devel                    1.42.7-1             OK
libcom_err2                         1.42.7-1             OK
libcroco0.6_3                       0.6.8-1              OK
libcurl4                            7.32.0-1             OK
libdatrie1                          0.2.6-1              OK
libdb4.5                            4.5.20.2-3           OK
libdb4.8                            4.8.30-1             OK
libdbus1_3                          1.6.16-1             OK
libdialog11                         1.2-20130523-1       OK
libe2p-devel                        1.42.7-1             OK
libe2p2                             1.42.7-1             OK
libedit0                            20130712-1           OK
libEMF1                             1.0.7-2              OK
libexpat-devel                      2.1.0-3              OK
libexpat1                           2.1.0-3              OK
libext2fs-devel                     1.42.7-1             OK
libext2fs2                          1.42.7-1             OK
libfam0                             0.1.10-14            OK
libffi-devel                        3.0.13-1             OK
libffi4                             4.5.3-3              OK
libffi6                             3.0.13-1             OK
libfftw3_3                          3.3.3-1              OK
libfltk1.1                          1.1.10-1             OK
libfltk1.1-gdi                      1.1.10-1             OK
libfltk1.3                          1.3.2.9965-1         OK
libfontconfig-devel                 2.10.93-1            OK
libfontconfig1                      2.10.93-1            OK
libfontenc-devel                    1.1.2-1              OK
libfontenc1                         1.1.2-1              OK
libfpx1                             1.3.1.2-1            OK
libfreetype-devel                   2.4.12-1             OK
libfreetype6                        2.4.12-1             OK
libfribidi0                         0.19.2-1             OK
libgcc1                             4.7.3-1              OK
libgcrypt-devel                     1.4.6-1              OK
libgcrypt11                         1.4.6-1              OK
libgd2                              2.0.36RC1-13         OK
libgdbm4                            1.8.3-20             OK
libgdk_pixbuf2.0-devel              2.28.2-1             OK
libgdk_pixbuf2.0_0                  2.28.2-1             OK
libgdk_pixbuf_xlib2.0-devel         2.28.2-1             OK
libgdk_pixbuf_xlib2.0_0             2.28.2-1             OK
libgettextpo0                       0.18.1.1-2           OK
libgfortran3                        4.7.3-1              OK
libgif4                             4.1.6-10             OK
libGL1                              8.0.5-1              OK
libglapi0                           8.0.5-1              OK
libglib2.0-devel                    2.36.4-3             OK
libglib2.0_0                        2.36.4-3             OK
libgmp-devel                        5.1.3-1              OK
libgmp10                            5.1.3-1              OK
libgmp3                             4.3.2-1              OK
libgmpxx4                           5.1.3-1              OK
libgnutls26                         2.12.20-1            OK
libgnutls28                         3.2.4-1              OK
libgomp1                            4.7.3-1              OK
libgpg-error-devel                  1.10-1               OK
libgpg-error0                       1.10-1               OK
libgraphite2_3                      1.2.3-1              OK
libgs9                              9.10-1               OK
libgssapi3                          1.5.2-4              OK
libgtk2.0-devel                     2.24.22-1            OK
libgtk2.0_0                         2.24.22-1            OK
libharfbuzz-devel                   0.9.19-1             OK
libharfbuzz0                        0.9.19-1             OK
libheimbase1                        1.5.2-4              OK
libheimntlm0                        1.5.2-4              OK
libhogweed2                         2.7-1                OK
libhx509_5                          1.5.2-4              OK
libICE-devel                        1.0.8-1              OK
libICE6                             1.0.8-1              OK
libiconv                            1.14-2               OK
libiconv2                           1.14-2               OK
libicu-devel                        4.8.1-1              OK
libicu48                            4.8.1-1              OK
libid3tag0                          0.15.1b-10           OK
libidn11                            1.26-1               OK
libImlib2_1                         1.4.5-2              OK
libintl8                            0.18.1.1-2           OK
libiodbc2                           3.52.8-2             OK
libjasper1                          1.900.1-12           OK
libjbig2                            2.0-12               OK
libjpeg-devel                       8b-1                 OK
