Results of ESP-r simulations of INDU-Zero archetype variations under three different climates.

All values in units of kWh/m^2.
Where a range is reported, values are mean ± range/2 from five different weather variations.

|              |           |               | space   |                             electrical draws                                |
| archetype    | location  | case          | heating | lighting | appliances | cooking | dhw   | ashp   | total  | pv     | net    |
|--------------|-----------|---------------|---------|----------|------------|---------|-------|--------|--------|--------|--------|
| semidetached | amsterdam | base          |   158.6 |      4.9 |       30.0 |     3.4 |  16.2 |  122.0 |  176.5 |  -59.6 |  117.0 |
|              |           |               | ±   2.8 |          |            |         |       | ±  2.8 | ±  2.8 | ±  0.5 | ±  3.2 |
|              |           | + upgrade     |    65.1 |          |            |         |       |   35.5 |   90.0 |        |   30.6 |
|              |           |   panels      | ±   1.9 |          |            |         |       | ±  1.4 | ±  1.4 |        | ±  1.7 |
|              |           | + passivhaus  |    35.7 |          |            |         |       |   16.9 |   71.3 |        |   11.9 |
|              |           |   ventilation | ±   1.0 |          |            |         |       | ±  0.7 | ±  0.7 |        | ±  1.0 |
|              |           | + floor       |     6.3 |          |            |         |       |    2.4 |   56.9 |        |   -2.7 |
|              |           |   insulation  | ±   0.8 |          |            |         |       | ±  0.3 | ±  0.3 |        | ±  0.7 |
|              | glasgow   | base          |   173.1 |          |            |         |       |  136.8 |  191.3 |  -45.3 |  146.0 |
|              |           |               | ±   4.4 |          |            |         |       | ±  4.5 | ±  4.5 | ±  1.0 | ±  5.5 |
|              |           | + upgrade     |    73.3 |          |            |         |       |   41.9 |   96.4 |        |   51.1 |
|              |           |   panels      | ±   2.5 |          |            |         |       | ±  2.0 | ±  2.0 |        | ±  3.0 |
|              |           | + passivhaus  |    38.1 |          |            |         |       |   18.5 |   73.0 |        |   27.6 |
|              |           |   ventilation | ±   1.2 |          |            |         |       | ±  0.9 | ±  0.9 |        | ±  1.8 |
|              |           | + floor       |     5.9 |          |            |         |       |    2.2 |   56.7 |        |   11.4 |
|              |           |   insulation  | ±   0.9 |          |            |         |       | ±  0.3 | ±  0.3 |        | ±  1.4 |
|              | oslo      | base          |   208.9 |          |            |         |       |  171.6 |  226.1 |  -49.4 |  176.9 |
|              |           |               | ±   4.2 |          |            |         |       | ±  4.2 | ±  4.2 | ±  1.0 | ±  5.0 |
|              |           | + upgrade     |    81.7 |          |            |         |       |   48.8 |  103.2 |        |   54.0 |
|              |           |   panels      | ±   1.8 |          |            |         |       | ±  1.5 | ±  1.5 |        | ±  2.3 |
|              |           | + passivhaus  |    47.4 |          |            |         |       |   22.3 |   76.7 |        |   27.4 |
|              |           |   ventilation | ±   1.0 |          |            |         |       | ±  0.7 | ±  0.7 |        | ±  1.6 |
|              |           | + floor       |    14.1 |          |            |         |       |    5.3 |   59.8 |        |   10.6 |
|              |           |   insulation  | ±   0.9 |          |            |         |       | ±  0.4 | ±  0.4 |        | ±  1.2 |
|--------------|-----------|---------------|---------|----------|------------|---------|-------|--------|--------|--------|--------|
| terraced     | amsterdam | base          |   131.7 |      4.9 |       30.0 |     3.4 |  16.2 |   96.2 |  150.7 |  -59.6 |   91.2 |
|              |           |               | ±   2.7 |          |            |         |       | ±  2.5 | ±  2.5 | ±  0.5 | ±  2.8 |
|              |           | + upgrade     |    63.0 |          |            |         |       |   34.0 |   88.5 |        |   29.0 |
|              |           |   panels      | ±   2.0 |          |            |         |       | ±  1.4 | ±  1.4 |        | ±  1.8 |
|              |           | + passivhaus  |    33.3 |          |            |         |       |   15.3 |   69.8 |        |   10.3 |
|              |           |   ventilation | ±   0.8 |          |            |         |       | ±  0.5 | ±  0.5 |        | ±  0.8 |
|              |           | + floor       |     4.6 |          |            |         |       |    1.7 |   56.2 |        |   -3.4 |
|              |           |   insulation  | ±   0.5 |          |            |         |       | ±  0.2 | ±  0.2 |        | ±  0.6 |
|              | glasgow   | base          |   144.9 |          |            |         |       |  108.6 |  163.1 |  -45.3 |  117.8 |
|              |           |               | ±   4.0 |          |            |         |       | ±  3.8 | ±  3.8 | ±  1.0 | ±  4.8 |
