device,time,temperature,co2,humidity,battery,dewpoint,room
70B3D55F200001BB,2021-04-22 00:04:40+00,17.8,455,58.5,3,9.55,lounge
70B3D55F200001BC,2021-04-22 00:02:19+00,19.8,445,52,3,9.65,main bedroom
70B3D55F200001B9,2021-04-22 00:02:48+00,18.4,464,57,3,9.72,second bedroom
70B3D55F200001BC,2021-04-22 00:09:51+00,19.7,430,52,3,9.56,main bedroom
70B3D55F200001B9,2021-04-22 00:10:20+00,18.4,449,57,3,9.72,second bedroom
70B3D55F200001BC,2021-04-22 00:17:20+00,19.6,428,52,3,9.47,main bedroom
70B3D55F200001BB,2021-04-22 00:12:09+00,17.8,449,58.5,3,9.55,lounge
70B3D55F200001B9,2021-04-22 00:17:48+00,18.3,453,57,3,9.63,second bedroom
70B3D55F200001BB,2021-04-22 00:19:38+00,17.7,465,58.5,3,9.46,lounge
70B3D55F200001BC,2021-04-22 00:24:51+00,19.6,439,52.5,3,9.61,main bedroom
70B3D55F200001B9,2021-04-22 00:25:18+00,18.3,457,57,3,9.63,second bedroom
70B3D55F200001B9,2021-04-22 00:32:49+00,18.2,449,57,3,9.54,second bedroom
70B3D55F200001BB,2021-04-22 00:27:10+00,17.7,458,59,3,9.58,lounge
70B3D55F200001BB,2021-04-22 00:42:08+00,17.6,443,59,3,9.49,lounge
70B3D55F200001BC,2021-04-22 00:32:23+00,19.5,446,52.5,3,9.52,main bedroom
70B3D55F200001BB,2021-04-22 00:34:39+00,17.7,451,59,3,9.58,lounge
70B3D55F200001B9,2021-04-22 00:40:21+00,18.2,447,57,3,9.54,second bedroom
70B3D55F200001BC,2021-04-22 00:39:54+00,19.5,437,52.5,3,9.52,main bedroom
70B3D55F200001BB,2021-04-22 00:49:39+00,17.6,453,59,3,9.49,lounge
70B3D55F200001BC,2021-04-22 00:47:25+00,19.4,445,52.5,3,9.43,main bedroom
70B3D55F200001B9,2021-04-22 00:47:49+00,18.2,444,57,3,9.54,second bedroom
70B3D55F200001B9,2021-04-22 00:55:21+00,18.1,451,57,3,9.44,second bedroom
70B3D55F200001BC,2021-04-22 00:54:56+00,19.3,440,52.5,3,9.33,main bedroom
70B3D55F200001BC,2021-04-22 01:09:58+00,19.2,430,52.5,3,9.24,main bedroom
70B3D55F200001BB,2021-04-22 00:57:07+00,17.6,448,59,3,9.49,lounge
70B3D55F200001BC,2021-04-22 01:02:27+00,19.3,438,52.5,3,9.33,main bedroom
70B3D55F200001B9,2021-04-22 01:02:53+00,18.1,440,57,3,9.44,second bedroom
70B3D55F200001BB,2021-04-22 01:04:37+00,17.5,459,59,3,9.39,lounge
